image_seed,image_condition,grain,participant,TrialNumber,reach,image,ran,order,rt_sec,response,target,image_name,distortion_seed,correct_or_incorrect
1,scenes,10.0,0,50,4,19,1.0,49.0,1.0371041,1.0,2.0,chisel_04s,49.0,1.0
1,scenes,10.0,0,51,2,8,1.0,50.0,0.54929614,2.0,3.0,cardboard_06s,50.0,1.0
1,scenes,10.0,0,52,4,11,1.0,51.0,1.4178631,2.0,3.0,bow1_03s,51.0,1.0
1,scenes,10.0,0,53,8,14,1.0,52.0,1.2044458,2.0,3.0,crutch_11s,52.0,1.0
1,scenes,10.0,0,54,2,11,1.0,53.0,1.07904,1.0,2.0,bow1_03s,53.0,1.0
1,scenes,10.0,0,55,4,9,1.0,54.0,1.071116,2.0,2.0,bowtie_06s,54.0,0.0
1,scenes,10.0,0,56,16,1,1.0,55.0,1.1114728,1.0,2.0,basketball_hoop_09s,55.0,1.0
1,scenes,10.0,0,57,1,0,1.0,56.0,1.1431248,2.0,3.0,0387,56.0,1.0
1,scenes,10.0,0,58,1,5,1.0,57.0,0.6770041,2.0,3.0,candlestick_04s,57.0,1.0
1,scenes,10.0,0,59,8,7,1.0,58.0,1.12346,1.0,2.0,asparagus_04s,58.0,1.0
1,scenes,10.0,0,60,8,12,1.0,59.0,1.7940018,2.0,3.0,chalice_13s,59.0,1.0
1,scenes,10.0,0,61,1,18,1.0,60.0,0.788409,1.0,2.0,belt_buckle_06s,60.0,1.0
1,scenes,10.0,0,62,4,14,1.0,61.0,0.4003408,1.0,2.0,crutch_11s,61.0,1.0
1,scenes,10.0,0,63,2,12,1.0,62.0,0.93122315,2.0,3.0,chalice_13s,62.0,1.0
1,scenes,10.0,0,64,2,2,1.0,63.0,0.927938,1.0,3.0,champagne_18s,63.0,0.0
1,scenes,10.0,0,65,4,12,1.0,64.0,1.4700961,2.0,3.0,chalice_13s,64.0,1.0
1,scenes,10.0,0,66,8,8,1.0,65.0,0.42049503,1.0,2.0,cardboard_06s,65.0,1.0
1,scenes,10.0,0,67,2,7,1.0,66.0,0.47705102,2.0,3.0,asparagus_04s,66.0,1.0
1,scenes,10.0,0,68,16,12,1.0,67.0,0.9490011,2.0,3.0,chalice_13s,67.0,1.0
1,scenes,10.0,0,69,4,0,1.0,68.0,0.49075198,2.0,3.0,0387,68.0,1.0
1,scenes,10.0,0,70,1,19,1.0,69.0,1.370379,2.0,3.0,chisel_04s,69.0,1.0
1,scenes,10.0,0,71,16,2,1.0,70.0,1.7187529,2.0,3.0,champagne_18s,70.0,1.0
1,scenes,10.0,0,72,4,6,1.0,71.0,0.428823,2.0,3.0,bedpost_04s,71.0,1.0
1,scenes,10.0,0,73,2,0,1.0,72.0,0.35193396,2.0,2.0,0387,72.0,0.0
1,scenes,10.0,0,74,2,19,1.0,73.0,0.49226308,1.0,3.0,chisel_04s,73.0,0.0
1,scenes,10.0,0,75,1,4,1.0,74.0,0.34728312,2.0,3.0,cellphone_02s,74.0,1.0
1,scenes,10.0,0,76,2,15,1.0,75.0,0.92049,1.0,3.0,centrifuge_02s,75.0,0.0
1,scenes,10.0,0,77,16,8,1.0,76.0,0.8053529,2.0,3.0,cardboard_06s,76.0,1.0
1,scenes,10.0,0,78,4,1,1.0,77.0,2.2243612,1.0,2.0,basketball_hoop_09s,77.0,1.0
1,scenes,10.0,0,79,1,2,1.0,78.0,0.75365996,1.0,3.0,champagne_18s,78.0,0.0
1,scenes,10.0,0,80,2,10,1.0,79.0,0.29459906,1.0,2.0,chute_03s,79.0,1.0
1,scenes,10.0,0,81,1,15,1.0,80.0,0.454602,1.0,3.0,centrifuge_02s,80.0,0.0
1,scenes,10.0,0,82,16,14,1.0,81.0,0.463794,1.0,2.0,crutch_11s,81.0,1.0
1,scenes,10.0,0,83,2,5,1.0,82.0,0.4250679,2.0,3.0,candlestick_04s,82.0,1.0
1,scenes,10.0,0,84,4,5,1.0,83.0,0.36333585,2.0,3.0,candlestick_04s,83.0,1.0
1,scenes,10.0,0,85,16,18,1.0,84.0,0.28067088,2.0,3.0,belt_buckle_06s,84.0,1.0
1,scenes,10.0,0,86,16,19,1.0,85.0,0.20056319,1.0,2.0,chisel_04s,85.0,1.0
1,scenes,10.0,0,87,4,3,1.0,86.0,0.355896,1.0,2.0,basketball_hoop_07s,86.0,1.0
1,scenes,10.0,0,88,8,2,1.0,87.0,1.07321,2.0,3.0,champagne_18s,87.0,1.0
1,scenes,10.0,0,89,8,18,1.0,88.0,0.70554805,2.0,3.0,belt_buckle_06s,88.0,1.0
1,scenes,10.0,0,90,1,16,1.0,89.0,0.81687593,2.0,3.0,crutch_05s,89.0,1.0
1,scenes,10.0,0,91,4,2,1.0,90.0,0.3313048,2.0,3.0,champagne_18s,90.0,1.0
1,scenes,10.0,0,92,8,16,1.0,91.0,0.08144498,1.0,2.0,crutch_05s,91.0,1.0
1,scenes,10.0,0,93,8,10,1.0,92.0,0.073498964,1.0,2.0,chute_03s,92.0,1.0
1,scenes,10.0,0,94,16,4,1.0,93.0,0.34597898,1.0,2.0,cellphone_02s,93.0,1.0
1,scenes,10.0,0,95,1,6,1.0,94.0,0.4156289,1.0,3.0,bedpost_04s,94.0,0.0
1,scenes,10.0,0,96,8,11,1.0,95.0,0.31419587,2.0,3.0,bow1_03s,95.0,1.0
1,scenes,10.0,0,97,1,9,1.0,96.0,1.4015789,1.0,3.0,bowtie_06s,96.0,0.0
1,scenes,10.0,0,98,4,17,1.0,97.0,0.35613298,1.0,2.0,coaster_14s,97.0,1.0
1,scenes,10.0,0,99,8,6,1.0,98.0,0.46613383,2.0,3.0,bedpost_04s,98.0,1.0
1,scenes,10.0,0,100,8,5,1.0,99.0,0.39536,1.0,2.0,candlestick_04s,99.0,1.0
